求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
27060-33417801,業務系システムエンジニア（東京）,【内容】システムの開発業務　　　　【言語】Ｊａｖａ、Ｃ、Ｃ＋＋、Ｃ♯、ＶＣ＋＋、．Ｎｅｔ系　他,"250,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業　株式会社　関西支社（大阪）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706033417801&kJKbn=1&jGSHNo=WE7gpKnkNli0bEdo9Yzkpw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03631102,サーバ運用設計、ＳＥ保守業務,・Ｗｉｎｄｏｗｓサーバの構築、保守（バックアップ、障害対応、　パッチ等）、運用設計,"400,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003631102&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03634802,インフラ構築運用（仮想化技術）,＊インフラ仮想化技術基盤の構築、運用、保守及び付随する　業務　,"250,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003634802&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03780202,サーバーの設計、構築、運用,ファイルサーバー・メールサーバー・ストレージなど基盤設計構築及び結合試験の対応、仮想化対応　,"300,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003780202&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03783002,ネットワークの設計・構築エンジニア,Ｌ２／Ｌ３スイッチ・ロードバランサー・ルーター・ＦｉｒｅＷａｌｌなどの設計・構築・設定,"300,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003783002&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03930702,Ｗｉｎｄｏｗｓアプリ開発（ＳＥ）,内容：半導体検査装置の開発ＯＳ：Ｗｉｎｄｏｗｓ,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003930702&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03939402,Ｗｅｂシステムプロト開発（ＳＥ）,内容：車両データを利用したプロト設計・開発言語／ツール：Ｊａｖａ，Ｊａｖａ　ｓｃｒｉｐｔ，,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003939402&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03253802,プログラマー又はＳＥ／市ヶ谷支店,主にオープン系開発案件における設計、製造、テストをお任せします。大手ＳＩｅｒ様での大規模案件やスモールオフィスでの中小規模案件など案件は多数ございます。,"250,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　サントラスト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003253802&kJKbn=1&jGSHNo=qxVnFuuED81dhr3Ivu9OTg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03280602,ＮｏｔｅｓＤｏｍｉｎｏサーバー運用保守,ＮｏｔｅｓＤｏｍｉｎｏサーバー運用保守のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も安心です。※寮あり,"270,000円〜400,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003280602&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03283902,ＳｈａｒｅＰｏｉｎｔエンジニア,ＳｈａｒｅＰｏｉｎｔ構築や運用保守、移行のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜450,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003283902&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03287802,医療向けシステムの開発,医療向けシステム開発のお仕事です。・３年以上のブランク、転職回数の多い方、応募可,"270,000円〜550,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003287802&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02818002,インフラエンジニア（ＳＥ）,内容：大規模のサーバー構築工程：要件定義、外部設計などの上流工程,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002818002&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02824502,サーバ設計・構築（ＳＥ）,内容：サーバ・ストレージの設計又は構築※上記知識が必要,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002824502&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02186802,プログラム開発、デバッグ（動作テスト）、マニュアル,当社はコンピュータソフトメーカーとして、サービスＮｏ．１、スキルＮｏ．１、成長率Ｎｏ．１を目指し、社会貢献するとともに働きやすい職場環境を作ります。メーカーのデベロッパーとして、お,"250,000円〜600,000円",フレックスタイム制,株式会社　ビッグバン,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002186802&kJKbn=1&jGSHNo=fNVqQFL6jMNbhBkz1q0%2F4A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02236002,Ｃ言語　ＳＥ・ＰＧ（経験にブランク可）,Ｃ言語による設計やプログラム　開発を担当していただきます。　　　　　　　　　　・ＧＵＩ開発経験あれば尚可,"230,000円〜320,000円","										（1）09時00分〜18時00分
",株式会社　アイテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002236002&kJKbn=1&jGSHNo=zxh6cTKo5JSB84kVWuOR3w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02560902,ソフトウェア開発,新規、既存システムに係る設計・開発・運用等,"223,000円〜312,000円","										（1）09時00分〜18時00分
",株式会社　日本オーエー研究所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002560902&kJKbn=1&jGSHNo=EEmPlV%2Brrwv0PzpqP3gEVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02564802,【急募】技術営業（インフラ系）,当社ＩＴインフラ事業部の管理職としての募集になります。・ＩＴインフラ系の請負案件の提案・公共入札案件の対応,"400,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002564802&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01750302,総務職（中堅）,総務全般業務を担当して頂きます。・総務管理（書類の作成、整理、ファイリング、電話・来客対応、他）,"250,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001750302&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02037902,ＣＯＢＯＬプログラマー、ＳＥ／正社員／生保、富士通汎用機,富士通汎用機を使用した、ＣＯＢＯＬ言語による業務アプリケーションの設計及び開発をして頂きます。開発案件は、生保の新契約システム、契約保全システム等です。,"249,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社ＣＯＢＯＬ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002037902&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02119802,Ａｚｕｒｅ導入コンサルタント（正社員）,Ａｚｕｒｅ導入コンサルタントを募集します。仕事の内容は以下の通りです。・要件定義、顧客への提案業務をご担当頂きます。,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002119802&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02120602,ＡＷＳ導入コンサルタント（正社員）,ＡＷＳ導入コンサルタントを募集します。仕事の内容は以下の通りです。・要件定義、顧客への提案業務をご担当頂きます。,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002120602&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02121002,ＳＡＰ導入コンサルタント（正社員）,ＳＡＰ導入コンサルタントを募集します。仕事の内容は以下の通りです。・要件定義、顧客への提案業務をご担当頂きます。,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002121002&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02122302,Ｓａｌｅｓｆｏｒｃｅ導入コンサルタント（正社員）,Ｓａｌｅｓｆｏｒｃｅ導入コンサルタントを募集します。仕事の内容は以下の通りです。・要件定義、顧客への提案業務をご担当頂きます。,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002122302&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02123902,ＶＢ．ＮＥＴ　ＰＭＯ（正社員）,ＶＢ．ＮＥＴシステム開発のＰＭＯを募集します。仕事の内容は以下の通りです。・プロジェクトマネジメント方式の標準化,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002123902&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02124102,Ｊａｖａプロジェクトマネージャー,Ｊａｖａシステム開発のプロジェクトマネージャーを募集します。仕事の内容は以下の通りです。・プロジェクトの立上げから終了までのプロジェクト管理をご担当,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002124102&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02125402,ＶＢ．ＮＥＴプロジェクトマネージャー,ＶＢ．ＮＥＴシステム開発のプロジェクトマネージャーを募集します。仕事の内容は以下の通りです。・プロジェクトの立上げから終了までのプロジェクト管理をご担当,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002125402&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02129502,Ｃ言語プロジェクトマネージャー,Ｃ言語システム開発のプロジェクトマネージャーを募集します。仕事の内容は以下の通りです。・プロジェクトの立上げから終了までのプロジェクト管理をご担当,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002129502&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02130302,ＪａｖａＰＭＯ,Ｊａｖａシステム開発のＰＭＯを募集します。仕事の内容は以下の通りです。・プロジェクトマネジメント方式の標準化,"486,500円〜604,000円","										（1）09時00分〜18時00分
",アルファパートナーズ株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002130302&kJKbn=1&jGSHNo=4r6UY%2BAtr4Bm24ezChebVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
23020-62439601,インフラ系ＳＥ／東京都千代田区,業務システム基盤案件の提案～設計構築業務基盤・ＮＷ系ＶＭＷａｒｅ　ｖＳｐｈｅｒｅ,"240,000円〜420,000円","										（1）09時00分〜17時45分
",フィット産業　株式会社　中部支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2302062439601&kJKbn=1&jGSHNo=%2BYt2n%2B46PnINE%2FICBHZxwA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
26010-28331301,Ｗｅｂ系システム設計アシスタント,＊ソフトウェアの評価・修正や資料作成など簡単な業務から担当し　て頂きます。,"170,000円〜230,000円","										（1）10時00分〜19時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2601028331301&kJKbn=1&jGSHNo=C5S%2FL4rQN%2BALWEJKSU4TqA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
26010-28333901,Ｗｅｂ系システム設計,＊Ｗｅｂ系システムの設計・開発を担当していただきます。＊プログラミング言語や開発環境にとらわれず、柔軟な対応が可能,"200,000円〜450,000円","										（1）10時00分〜19時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2601028333901&kJKbn=1&jGSHNo=C5S%2FL4rQN%2BALWEJKSU4TqA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
26010-28335401,オープン系ソフトウェア設計,＊オープン系システムのソフトウェア設計・開発を担当していただ　きます。,"200,000円〜450,000円","										（1）10時00分〜19時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2601028335401&kJKbn=1&jGSHNo=C5S%2FL4rQN%2BALWEJKSU4TqA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
26010-28338201,オープン系システム設計アシスタント,＊ソフトウェアの評価・修正や資料作成など簡単な業務から担当し　て頂きます。,"170,000円〜230,000円","										（1）10時00分〜19時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2601028338201&kJKbn=1&jGSHNo=C5S%2FL4rQN%2BALWEJKSU4TqA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01434502,Ｒｕｂｙエンジニア（経験者）,Ｒｕｂｙ、ＲｕｂｙｏｎＲａｉｌｓを使った開発業務【具体的な仕事内容】　要件定義・設計から開発、テスト、リリース、運用までの工程の,"250,000円〜500,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001434502&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01451602,Ｒｕｂｙエンジニア（経験不問）／トライアル併用,Ｒｕｂｙ、ＲｕｂｙｏｎＲａｉｌｓを使った開発業務＜具体的な仕事内容＞　開発、テスト、リリース、運用までの工程の全部もしくは一部を,"210,000円〜250,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001451602&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01472702,データベースエンジニア（経験者）,データベースの設計、構築、運用管理、パフォーマンスチューニングなどＤＢサーバに関わる全般の業務【仕事一例】,"250,000円〜500,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001472702&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01485002,データベースエンジニア（経験不問）／トライアル併用,データベースの運用、管理、構築作業【データベースとは】大量のデータを集めて、コンピューターでデータの追加、削除、検,"210,000円〜250,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001485002&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01502402,サーバエンジニア（経験者）,各種サーバの設計、構築作業を担当して頂きます＜今後の展望＞サーバ技術を持ったエンジニアの需要は非常に高まっており、新し,"250,000円〜500,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001502402&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01505202,サーバエンジニア（経験不問）／トライアル併用,各種サーバの構築、運用、保守作業を担当して頂きますスキルレベルに応じて適切な業務をお任せします＜今後の展望＞,"210,000円〜250,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001505202&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01511702,Ｌｉｎｕｘエンジニア（経験者）,Ｌｉｎｕｘサーバの設計、構築、運用プロジェクトに参画いただきます【プロジェクト一例】,"250,000円〜500,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001511702&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01592102,宇宙機搭載ソフトウェア開発（ＳＥ）,ＯＳ：Ｌｉｎｕｘ言語：Ｃ行程：設計～テスト,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001592102&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01594702,オンライン診察サービスシステム開発（ＳＥ）,言語／ツール：Ｏｂｊｅｃｔｉｖｅ－Ｃ、Ｓｗｉｆｔ工程：基本設計～総合テスト,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001594702&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01601202,Ｌｉｎｕｘエンジニア（経験不問）／トライアル併用,Ｌｉｎｕｘサーバの構築、運用プロジェクトに参画いただきます※当社はインフラにおいてはＬｉｎｕｘに特化している企業です　　ＩＴエンジニアとしての第一歩をＬｉｎｕｘから始めたい方歓迎,"210,000円〜250,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001601202&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01106002,システムエンジニア,◇ソフトウェア開発・Ｗｅｂアプリケーション・スマホ、タブレット向けアプリ,"250,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　アイテイ－エスピー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001106002&kJKbn=1&jGSHNo=RQmA6gWkJzyt9WjNTHJBug%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01108902,テストエンジニア,業務ソフトウェア（販売・在庫管理）及びシステムドキュメントの検証、品質管理、テスト進捗管理、テスト設計、テスト仕様書作成等、ソフトウェアを様々な角度から試験運用し、結果を分析。,"355,100円〜535,540円","										（1）09時00分〜17時30分
",株式会社センチュリー・システムズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001108902&kJKbn=1&jGSHNo=Y5zwPe2UfgiJ5zFo5KWi5Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-38190001,ソフトウェア開発／千代田区,・業務系Ｗｅｂシステム開発・臨床検査システムの開発～導入サポート・ＩＴ関連業務開発,"200,000円〜600,000円","										（1）09時30分〜18時00分
",株式会社　ジャパン　アリスト　システムズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309038190001&kJKbn=1&jGSHNo=s2locaKDyPtwWFnvMmrraw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-32709901,システムエンジニア（東京オフィス）,＊業務システムの開発を担当して頂きます。　基本設計からシステムテストまでスキルに応じて役割　を決定します。,"230,000円〜480,000円","										（1）09時00分〜17時30分
",株式会社　ビーアイテイ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703032709901&kJKbn=1&jGSHNo=coeEJ%2BISWpkwqit5xuir0Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
